Customer ID,Current Base Fee,# of Users,SMS Reminders,Accounting Sync,Chemical Tracking,ePayments,L12M Revenue
253052,$50.00 ,5,N,Y,N,N,"$139,855.69 "
254408,$30.00 ,1,Y,N,N,N,"$183,214.37 "
255173,$50.00 ,1,Y,Y,N,Y,"$286,882.84 "
255654,$30.00 ,1,N,N,N,N,"$189,493.45 "
255751,$50.00 ,19,N,Y,N,Y,"$430,844.62 "
255798,$50.00 ,19,N,Y,N,N,"$294,022.07 "
256190,$50.00 ,1,N,Y,N,Y,"$470,391.15 "
260712,$50.00 ,6,Y,Y,N,N,"$472,582.84 "
262453,$50.00 ,1,N,N,N,N,"$78,501.92 "
262581,$50.00 ,12,N,N,N,Y,"$383,639.41 "
265957,$50.00 ,19,N,N,N,Y,"$325,427.59 "
268896,$50.00 ,1,N,Y,N,Y,"$34,701.70 "
269563,$50.00 ,3,N,Y,N,Y,"$403,778.86 "
270098,$30.00 ,8,N,N,N,Y,"$54,612.23 "
270648,$50.00 ,1,N,N,Y,N,"$26,580.79 "
270685,$50.00 ,6,N,N,N,Y,"$286,965.42 "
271198,$30.00 ,3,N,Y,N,N,"$180,399.71 "
271264,$30.00 ,1,Y,N,N,N,"$234,774.31 "
273809,$50.00 ,3,N,Y,N,Y,"$46,297.49 "
274230,$50.00 ,1,N,N,N,N,"$333,773.21 "
274718,$50.00 ,1,N,Y,N,Y,"$495,427.23 "
275034,$30.00 ,3,N,N,N,Y,"$473,343.12 "
275323,$30.00 ,1,N,Y,N,N,"$49,954.87 "
276004,$50.00 ,17,N,Y,Y,N,"$184,298.01 "
276222,$50.00 ,8,Y,Y,Y,N,"$287,402.09 "
276695,$50.00 ,6,Y,Y,N,Y,"$161,890.32 "
277612,$50.00 ,1,Y,N,Y,Y,"$304,030.32 "
279406,$50.00 ,1,Y,Y,N,Y,"$347,875.77 "
279988,$50.00 ,5,Y,Y,N,N,"$283,640.90 "
280514,$30.00 ,19,N,Y,N,Y,"$140,943.29 "
280758,$50.00 ,6,N,N,N,Y,"$32,115.09 "
281476,$50.00 ,2,N,Y,N,Y,"$227,593.15 "
281958,$50.00 ,3,Y,Y,N,N,"$425,982.45 "
283949,$50.00 ,6,N,Y,N,N,"$232,845.51 "
284609,$50.00 ,5,N,Y,N,Y,"$323,077.01 "
284958,$50.00 ,10,N,Y,Y,Y,"$477,724.40 "
284961,$50.00 ,1,Y,Y,N,Y,"$444,451.25 "
286479,$50.00 ,6,Y,N,N,N,"$351,827.66 "
286918,$50.00 ,5,N,N,N,N,"$64,691.36 "
287697,$50.00 ,1,N,N,N,Y,"$90,730.06 "
288155,$30.00 ,19,Y,Y,N,Y,"$280,719.03 "
288623,$50.00 ,1,N,N,N,Y,"$65,710.63 "
289761,$50.00 ,7,N,Y,Y,N,"$431,126.42 "
289833,$50.00 ,5,Y,Y,N,Y,"$298,485.74 "
294035,$50.00 ,17,N,Y,N,Y,"$185,356.37 "
295712,$50.00 ,1,N,Y,N,N,"$187,220.52 "
295901,$50.00 ,7,N,Y,N,N,"$408,526.79 "
296301,$50.00 ,6,N,Y,N,Y,"$54,646.47 "
296645,$30.00 ,14,Y,Y,N,Y,"$77,063.21 "
297040,$30.00 ,20,N,N,N,N,"$256,982.94 "
298141,$50.00 ,7,Y,N,N,N,"$250,183.36 "
298482,$50.00 ,19,N,Y,N,Y,"$95,933.92 "
298836,$50.00 ,1,N,N,N,N,"$148,069.04 "
299121,$50.00 ,1,N,N,N,N,"$64,412.29 "
299570,$50.00 ,1,N,Y,N,Y,"$108,005.31 "
300606,$50.00 ,2,N,N,N,Y,"$462,961.67 "
300766,$50.00 ,3,Y,N,N,Y,"$438,812.71 "
301323,$50.00 ,7,N,Y,Y,Y,"$269,759.26 "
304459,$50.00 ,20,N,N,N,Y,"$495,532.41 "
304746,$50.00 ,5,N,Y,N,N,"$12,204.90 "
304802,$50.00 ,6,N,N,N,N,"$221,182.70 "
306077,$30.00 ,1,N,Y,N,Y,"$423,018.38 "
306216,$50.00 ,8,N,Y,N,Y,"$10,785.80 "
306565,$50.00 ,5,Y,Y,N,Y,"$119,426.15 "
306649,$50.00 ,1,Y,Y,Y,Y,"$159,642.11 "
306837,$50.00 ,1,N,N,N,Y,"$356,696.48 "
307866,$50.00 ,1,N,Y,N,N,"$306,693.57 "
308604,$50.00 ,2,N,Y,N,N,"$181,234.47 "
311896,$50.00 ,1,N,Y,N,N,"$390,833.74 "
312436,$50.00 ,6,Y,Y,N,Y,"$305,693.69 "
313089,$30.00 ,5,Y,Y,N,N,"$391,472.70 "
313660,$50.00 ,19,N,N,N,N,"$269,721.60 "
313865,$50.00 ,3,Y,N,N,Y,"$140,891.50 "
314286,$50.00 ,8,N,Y,Y,Y,"$453,542.66 "
315145,$50.00 ,1,N,N,Y,N,"$194,545.95 "
317770,$50.00 ,1,Y,Y,N,N,"$169,105.35 "
318107,$50.00 ,2,Y,N,N,Y,"$437,555.56 "
318191,$50.00 ,8,Y,Y,N,N,"$222,453.67 "
320263,$50.00 ,1,N,Y,N,N,"$472,022.12 "
321629,$30.00 ,19,N,Y,N,N,"$211,933.99 "
322652,$50.00 ,3,N,Y,N,Y,"$185,520.30 "
323221,$50.00 ,6,N,Y,N,N,"$476,403.66 "
324308,$50.00 ,15,N,Y,N,Y,"$306,287.54 "
324695,$50.00 ,1,N,N,N,Y,"$299,594.47 "
326843,$50.00 ,10,N,N,N,Y,"$19,161.91 "
327034,$50.00 ,2,N,Y,N,N,"$26,307.43 "
327632,$30.00 ,19,N,Y,Y,N,"$295,778.46 "
329165,$50.00 ,3,Y,Y,N,N,"$223,930.35 "
329711,$50.00 ,1,Y,Y,N,Y,"$107,788.16 "
329871,$50.00 ,2,Y,Y,N,Y,"$379,718.80 "
330924,$30.00 ,3,N,Y,N,Y,"$138,348.79 "
331614,$50.00 ,6,N,Y,N,N,"$159,838.75 "
336372,$50.00 ,1,N,Y,N,Y,"$325,271.34 "
336537,$30.00 ,1,Y,Y,N,Y,"$394,892.16 "
336782,$50.00 ,6,N,N,N,N,"$464,980.03 "
337297,$50.00 ,5,N,N,N,N,"$447,880.26 "
338404,$50.00 ,19,N,Y,N,N,"$422,448.12 "
339629,$50.00 ,19,Y,Y,N,Y,"$261,120.56 "
339633,$50.00 ,8,Y,Y,N,N,"$310,242.72 "
340950,$50.00 ,5,Y,N,N,Y,"$250,104.63 "
341561,$30.00 ,1,N,Y,N,N,"$254,427.06 "
345408,$50.00 ,19,Y,N,N,N,"$2,144.05 "
345615,$50.00 ,8,N,Y,N,N,"$117,086.85 "
348892,$30.00 ,7,Y,N,N,N,"$75,928.94 "
349143,$50.00 ,3,Y,Y,Y,N,"$247,320.02 "
349309,$50.00 ,6,N,N,N,Y,"$43,480.44 "
349971,$50.00 ,1,N,Y,N,Y,"$38,821.61 "
353205,$30.00 ,7,Y,N,N,Y,"$233,717.71 "
353229,$50.00 ,1,N,Y,Y,Y,"$334,289.95 "
353776,$50.00 ,1,N,N,N,Y,"$494,171.89 "
353982,$50.00 ,1,N,Y,N,Y,"$416,172.92 "
354160,$50.00 ,7,Y,Y,N,N,"$368,575.79 "
354424,$50.00 ,8,Y,N,Y,N,"$356,925.71 "
355198,$50.00 ,5,N,Y,N,N,"$455,716.28 "
355306,$30.00 ,1,N,Y,N,Y,"$456,413.88 "
355618,$50.00 ,1,N,Y,N,Y,"$491,946.13 "
363539,$30.00 ,1,N,Y,N,Y,"$434,552.34 "
364000,$30.00 ,19,N,Y,N,N,"$139,163.14 "
365275,$30.00 ,6,N,Y,N,N,"$379,159.79 "
365279,$30.00 ,2,Y,Y,N,N,"$377,722.27 "
366615,$30.00 ,7,N,Y,N,N,"$187,322.75 "
366639,$50.00 ,2,N,N,Y,N,"$50,884.16 "
367053,$50.00 ,5,Y,Y,N,N,"$1,495.57 "
367596,$50.00 ,5,N,Y,N,N,"$32,342.54 "
367619,$50.00 ,19,N,N,N,N,"$432,665.92 "
368939,$50.00 ,5,N,Y,N,Y,"$363,421.73 "
369141,$50.00 ,7,N,Y,N,N,"$463,804.00 "
370097,$50.00 ,19,N,Y,N,Y,"$119,975.73 "
370649,$30.00 ,14,N,N,Y,Y,"$38,864.50 "
372557,$30.00 ,1,Y,N,N,N,"$135,883.93 "
374341,$50.00 ,3,Y,Y,N,N,"$418,086.66 "
374913,$50.00 ,1,N,N,N,Y,"$85,160.44 "
375156,$30.00 ,6,N,N,N,N,"$95,142.91 "
375398,$50.00 ,2,N,Y,N,Y,"$315,798.29 "
376741,$30.00 ,10,N,Y,N,Y,"$473,787.67 "
377410,$50.00 ,7,N,Y,N,Y,"$213,487.01 "
377535,$50.00 ,19,N,N,N,Y,"$55,241.50 "
378028,$50.00 ,10,N,N,N,N,"$105,285.34 "
381616,$30.00 ,5,N,N,N,N,"$207,828.95 "
383980,$50.00 ,7,Y,Y,N,Y,"$73,919.48 "
384134,$50.00 ,3,N,Y,N,N,"$22,322.49 "
384638,$50.00 ,19,N,Y,N,Y,"$362,522.18 "
384755,$50.00 ,1,Y,Y,N,Y,"$475,477.38 "
385385,$30.00 ,2,N,Y,N,Y,"$419,091.76 "
387136,$50.00 ,5,N,Y,N,N,"$246,927.56 "
388670,$30.00 ,7,N,Y,N,Y,"$250,938.68 "
388838,$30.00 ,5,Y,N,N,N,"$54,929.06 "
388949,$50.00 ,6,Y,Y,N,N,"$415,458.11 "
389173,$50.00 ,7,N,N,N,N,"$79,689.13 "
389328,$50.00 ,1,Y,Y,N,N,"$135,776.42 "
389889,$50.00 ,2,Y,N,N,Y,"$5,223.92 "
390418,$50.00 ,5,Y,Y,N,N,"$193,623.35 "
391029,$50.00 ,6,N,Y,N,Y,"$417,942.41 "
393135,$50.00 ,2,Y,Y,N,N,"$199,567.54 "
394649,$50.00 ,3,Y,Y,N,N,"$12,007.22 "
396569,$50.00 ,6,Y,Y,N,Y,"$452,410.99 "
398515,$50.00 ,7,Y,Y,N,N,"$127,359.87 "
400718,$30.00 ,7,N,Y,Y,Y,"$223,746.28 "
401289,$50.00 ,6,N,Y,N,N,"$374,366.00 "
402427,$50.00 ,6,Y,Y,N,N,"$396,334.52 "
404070,$50.00 ,6,N,Y,N,N,"$96,370.22 "
404154,$30.00 ,5,N,N,N,N,"$326,675.72 "
404574,$50.00 ,7,N,N,N,N,"$426,273.65 "
404836,$50.00 ,1,N,Y,N,N,"$54,862.52 "
406624,$50.00 ,5,N,Y,N,Y,"$222,275.50 "
406939,$50.00 ,8,Y,Y,N,Y,"$63,136.94 "
407144,$50.00 ,5,N,Y,N,N,"$76,070.25 "
407216,$50.00 ,17,N,Y,N,N,"$89,559.98 "
407260,$50.00 ,1,N,Y,N,Y,"$333,165.07 "
408518,$50.00 ,3,N,Y,N,Y,"$261,338.18 "
408842,$30.00 ,8,N,N,N,Y,"$85,932.32 "
409026,$30.00 ,3,N,N,N,N,"$492,865.89 "
409800,$50.00 ,19,N,Y,N,Y,"$345,478.91 "
